day,hour,minute,i_ap
2024-07-01,0,0,0.0
2024-07-01,0,1,0.0
2024-07-01,0,2,0.0
2024-07-01,0,3,0.0
2024-07-01,0,4,0.0
2024-07-01,0,5,0.0
2024-07-01,0,6,0.0
2024-07-01,0,7,0.0
2024-07-01,0,8,0.0
2024-07-01,0,9,0.0
2024-07-01,0,10,0.0
2024-07-01,0,11,0.0
2024-07-01,0,12,0.0
2024-07-01,0,13,0.0
2024-07-01,0,14,0.0
2024-07-01,0,15,0.0
2024-07-01,0,16,0.0
2024-07-01,0,17,0.0
2024-07-01,0,18,0.0
2024-07-01,0,19,0.0
2024-07-01,0,21,0.0
2024-07-01,0,22,0.0
2024-07-01,0,23,0.0
2024-07-01,0,24,0.0
2024-07-01,0,25,0.0
2024-07-01,0,26,0.0
2024-07-01,0,27,0.0
2024-07-01,0,28,0.0
2024-07-01,0,29,0.0
2024-07-01,0,30,0.0
2024-07-01,0,31,0.0
2024-07-01,0,32,0.0
2024-07-01,0,33,0.0
2024-07-01,0,34,0.0
2024-07-01,0,35,0.0
2024-07-01,0,36,0.0
2024-07-01,0,37,0.0
2024-07-01,0,38,0.0
2024-07-01,0,39,0.0
2024-07-01,0,40,0.0
2024-07-01,0,41,0.0
2024-07-01,0,42,0.0
2024-07-01,0,43,0.0
2024-07-01,0,44,0.0
2024-07-01,0,45,0.0
2024-07-01,0,46,0.0
2024-07-01,0,47,0.0
2024-07-01,0,48,0.0
2024-07-01,0,49,0.0
2024-07-01,0,50,0.0
2024-07-01,0,51,0.0
2024-07-01,0,52,0.0
2024-07-01,0,53,0.0
2024-07-01,0,54,0.0
2024-07-01,0,55,0.0
2024-07-01,0,56,0.0
2024-07-01,0,57,0.0
2024-07-01,0,58,0.0
2024-07-01,0,59,0.0
2024-07-01,1,0,0.0
2024-07-01,1,1,0.0
2024-07-01,1,2,0.0
2024-07-01,1,3,0.0
2024-07-01,1,4,0.0
2024-07-01,1,5,0.0
2024-07-01,1,6,0.0
2024-07-01,1,7,0.0
2024-07-01,1,8,0.0
2024-07-01,1,9,0.0
2024-07-01,1,10,0.0
2024-07-01,1,11,0.0
2024-07-01,1,12,0.0
2024-07-01,1,13,0.0
2024-07-01,1,14,0.0
2024-07-01,1,15,0.0
2024-07-01,1,16,0.0
2024-07-01,1,17,0.0
2024-07-01,1,18,0.0
2024-07-01,1,19,0.0
2024-07-01,1,20,0.0
2024-07-01,1,21,0.0
2024-07-01,1,22,0.0
2024-07-01,1,23,0.0
2024-07-01,1,24,0.0
2024-07-01,1,25,0.0
2024-07-01,1,26,0.0
2024-07-01,1,27,0.0
2024-07-01,1,28,0.0
2024-07-01,1,29,0.0
2024-07-01,1,30,0.0
2024-07-01,1,31,0.0
2024-07-01,1,32,0.0
2024-07-01,1,33,0.0
2024-07-01,1,34,0.0
2024-07-01,1,35,0.0
2024-07-01,1,36,0.0
2024-07-01,1,37,0.0
2024-07-01,1,38,0.0
2024-07-01,1,39,0.0
2024-07-01,1,40,0.0
2024-07-01,1,41,0.0
2024-07-01,1,42,0.0
2024-07-01,1,43,0.0
2024-07-01,1,44,0.0
2024-07-01,1,45,0.0
2024-07-01,1,46,0.0
2024-07-01,1,47,0.0
2024-07-01,1,48,0.0
2024-07-01,1,49,0.0
2024-07-01,1,50,0.0
2024-07-01,1,51,0.0
2024-07-01,1,52,0.0
2024-07-01,1,53,0.0
2024-07-01,1,54,0.0
2024-07-01,1,55,0.0
2024-07-01,1,56,0.0
2024-07-01,1,57,0.0
2024-07-01,1,58,0.0
2024-07-01,1,59,0.0
2024-07-01,2,0,0.0
2024-07-01,2,1,0.0
2024-07-01,2,2,0.0
2024-07-01,2,3,0.0
2024-07-01,2,4,0.0
2024-07-01,2,5,0.0
2024-07-01,2,6,0.0
2024-07-01,2,7,0.0
2024-07-01,2,8,0.0
2024-07-01,2,9,0.0
2024-07-01,2,10,0.0
2024-07-01,2,11,0.0
2024-07-01,2,12,0.0
2024-07-01,2,13,0.0
2024-07-01,2,14,0.0
2024-07-01,2,15,0.0
2024-07-01,2,16,0.0
2024-07-01,2,17,0.0
2024-07-01,2,18,0.0
2024-07-01,2,19,0.0
2024-07-01,2,20,0.0
2024-07-01,2,21,0.0
2024-07-01,2,22,0.0
2024-07-01,2,23,0.0
2024-07-01,2,24,0.0
2024-07-01,2,25,0.0
2024-07-01,2,26,0.0
2024-07-01,2,27,0.0
2024-07-01,2,28,0.0
2024-07-01,2,29,0.0
2024-07-01,2,30,0.0
2024-07-01,2,31,0.0
2024-07-01,2,32,0.0
2024-07-01,2,33,0.0
2024-07-01,2,34,0.0
2024-07-01,2,35,0.0
2024-07-01,2,36,0.0
2024-07-01,2,37,0.0
2024-07-01,2,38,0.0
2024-07-01,2,39,0.0
2024-07-01,2,40,0.0
2024-07-01,2,41,0.0
2024-07-01,2,43,0.0
2024-07-01,2,44,0.0
2024-07-01,2,45,0.0
2024-07-01,2,46,0.0
2024-07-01,2,47,0.0
2024-07-01,2,48,0.0
2024-07-01,2,49,0.0
2024-07-01,2,50,0.0
2024-07-01,2,51,0.0
2024-07-01,2,52,0.0
2024-07-01,2,53,0.0
2024-07-01,2,54,0.0
2024-07-01,2,55,0.0
2024-07-01,2,56,0.0
2024-07-01,2,57,0.0
2024-07-01,2,59,0.0
2024-07-01,3,0,0.0
2024-07-01,3,1,0.0
2024-07-01,3,2,0.0
2024-07-01,3,3,0.0
2024-07-01,3,4,0.0
2024-07-01,3,5,0.0
2024-07-01,3,6,0.0
2024-07-01,3,7,0.0
2024-07-01,3,8,0.0
2024-07-01,3,9,0.0
2024-07-01,3,10,0.0
2024-07-01,3,11,0.0
2024-07-01,3,12,0.0
2024-07-01,3,13,0.0
2024-07-01,3,14,0.0
2024-07-01,3,15,0.0
2024-07-01,3,16,0.0
2024-07-01,3,17,0.0
2024-07-01,3,18,0.0
2024-07-01,3,19,0.0
2024-07-01,3,20,0.0
2024-07-01,3,21,0.0
2024-07-01,3,22,0.0
2024-07-01,3,23,0.0
2024-07-01,3,24,0.0
2024-07-01,3,25,0.0
2024-07-01,3,26,0.0
2024-07-01,3,27,0.0
2024-07-01,3,28,0.0
2024-07-01,3,29,0.0
2024-07-01,3,30,0.0
2024-07-01,3,31,0.0
2024-07-01,3,32,0.0
2024-07-01,3,33,0.0
2024-07-01,3,34,0.0
2024-07-01,3,35,0.0
2024-07-01,3,36,0.0
2024-07-01,3,37,0.0
2024-07-01,3,38,0.0
2024-07-01,3,39,0.0
2024-07-01,3,40,0.0
2024-07-01,3,41,0.0
2024-07-01,3,42,0.0
2024-07-01,3,43,0.0
2024-07-01,3,44,0.0
2024-07-01,3,45,0.0
2024-07-01,3,46,0.0
2024-07-01,3,47,0.0
2024-07-01,3,48,0.0
2024-07-01,3,49,0.0
2024-07-01,3,50,0.0
2024-07-01,3,51,0.0
2024-07-01,3,52,0.0
2024-07-01,3,53,0.0
2024-07-01,3,54,0.0
2024-07-01,3,55,0.0
2024-07-01,3,56,0.0
2024-07-01,3,57,0.0
2024-07-01,3,58,0.0
2024-07-01,3,59,0.0
2024-07-01,4,0,0.0
2024-07-01,4,1,0.0
2024-07-01,4,2,0.0
2024-07-01,4,3,0.0
2024-07-01,4,4,0.0
2024-07-01,4,5,0.0
2024-07-01,4,6,0.0
2024-07-01,4,7,0.0
2024-07-01,4,8,0.0
2024-07-01,4,9,0.0
2024-07-01,4,10,0.0
2024-07-01,4,11,0.0
2024-07-01,4,12,0.0
2024-07-01,4,13,0.0
2024-07-01,4,14,0.0
2024-07-01,4,15,0.0
2024-07-01,4,16,0.0
2024-07-01,4,17,0.0
2024-07-01,4,18,0.0
2024-07-01,4,19,0.0
2024-07-01,4,20,0.0
2024-07-01,4,21,0.0
2024-07-01,4,22,0.0
2024-07-01,4,23,0.0
2024-07-01,4,24,0.0
2024-07-01,4,25,0.0
2024-07-01,4,26,0.0
2024-07-01,4,27,0.0
2024-07-01,4,28,0.0
2024-07-01,4,29,0.0
2024-07-01,4,30,0.0
2024-07-01,4,31,0.0
2024-07-01,4,32,0.0
2024-07-01,4,33,0.0
2024-07-01,4,34,0.0
2024-07-01,4,35,0.0
2024-07-01,4,36,0.0
2024-07-01,4,37,0.0
2024-07-01,4,38,0.0
2024-07-01,4,39,0.0
2024-07-01,4,40,0.0
2024-07-01,4,41,0.0
2024-07-01,4,42,0.0
2024-07-01,4,43,0.0
2024-07-01,4,44,0.0
2024-07-01,4,45,0.0
2024-07-01,4,46,0.0
2024-07-01,4,47,0.0
2024-07-01,4,48,0.0
2024-07-01,4,49,0.0
2024-07-01,4,50,0.0
2024-07-01,4,51,0.0
2024-07-01,4,52,0.0
2024-07-01,4,53,0.0
2024-07-01,4,54,0.0
2024-07-01,4,55,0.0
2024-07-01,4,56,0.0
2024-07-01,4,57,0.0
2024-07-01,4,58,0.0
2024-07-01,4,59,0.0
2024-07-01,5,0,0.0
2024-07-01,5,1,0.0
2024-07-01,5,2,0.0
2024-07-01,5,3,0.0
2024-07-01,5,4,0.0
2024-07-01,5,5,0.0
2024-07-01,5,6,0.0
2024-07-01,5,7,0.0
2024-07-01,5,8,0.0
2024-07-01,5,9,0.0
2024-07-01,5,10,0.0
2024-07-01,5,11,0.0
2024-07-01,5,12,0.0
2024-07-01,5,13,0.0
2024-07-01,5,14,0.0
2024-07-01,5,15,0.0
2024-07-01,5,16,0.0
2024-07-01,5,17,0.0
2024-07-01,5,18,0.0
2024-07-01,5,19,0.0
2024-07-01,5,20,0.0
2024-07-01,5,21,0.0
2024-07-01,5,22,0.0
2024-07-01,5,23,0.0
2024-07-01,5,24,0.0
2024-07-01,5,25,0.0
2024-07-01,5,26,0.0
2024-07-01,5,27,0.0
2024-07-01,5,28,0.0
2024-07-01,5,29,0.0
2024-07-01,5,30,0.0
2024-07-01,5,31,0.0
2024-07-01,5,32,0.0
2024-07-01,5,33,0.0
2024-07-01,5,34,0.0
2024-07-01,5,35,0.0
2024-07-01,5,36,0.0
2024-07-01,5,37,0.0
2024-07-01,5,38,0.0
2024-07-01,5,39,0.0
2024-07-01,5,40,0.0
2024-07-01,5,41,0.0
2024-07-01,5,42,0.0
2024-07-01,5,43,0.0
2024-07-01,5,44,0.0
2024-07-01,5,45,0.0
2024-07-01,5,46,0.0
2024-07-01,5,47,0.0
2024-07-01,5,48,0.0
2024-07-01,5,49,0.0
2024-07-01,5,50,0.0
2024-07-01,5,51,0.0
2024-07-01,5,52,0.0
2024-07-01,5,53,0.0
2024-07-01,5,54,0.0
2024-07-01,5,55,0.0
2024-07-01,5,56,0.0
2024-07-01,5,57,0.0
2024-07-01,5,59,0.0
2024-07-01,6,0,0.0
2024-07-01,6,1,0.0
2024-07-01,6,2,0.0
2024-07-01,6,3,0.0
2024-07-01,6,4,0.0
2024-07-01,6,5,0.0
2024-07-01,6,6,0.0
2024-07-01,6,7,0.0
2024-07-01,6,8,0.0
2024-07-01,6,9,0.0
2024-07-01,6,10,0.0
2024-07-01,6,11,0.0
2024-07-01,6,12,0.0
2024-07-01,6,13,0.0
2024-07-01,6,14,0.0
2024-07-01,6,15,0.0
2024-07-01,6,16,0.0
2024-07-01,6,17,0.0
2024-07-01,6,18,0.0
2024-07-01,6,19,0.0
2024-07-01,6,20,0.0
2024-07-01,6,21,0.0
2024-07-01,6,22,0.0
2024-07-01,6,23,0.0
2024-07-01,6,24,0.0
2024-07-01,6,25,0.0
2024-07-01,6,26,0.0
2024-07-01,6,27,0.0
2024-07-01,6,28,0.0
2024-07-01,6,29,0.0
2024-07-01,6,30,0.0
2024-07-01,6,31,0.0
2024-07-01,6,32,0.0
2024-07-01,6,33,0.0
2024-07-01,6,34,0.0
2024-07-01,6,35,0.0
2024-07-01,6,36,0.0
2024-07-01,6,37,0.0
2024-07-01,6,38,0.0
2024-07-01,6,39,0.0
2024-07-01,6,40,0.0
2024-07-01,6,41,0.0
2024-07-01,6,42,0.0
2024-07-01,6,43,0.0
2024-07-01,6,44,0.0
2024-07-01,6,45,0.0
2024-07-01,6,46,0.0
2024-07-01,6,47,0.0
2024-07-01,6,48,0.0
2024-07-01,6,49,0.0
2024-07-01,6,50,0.0
2024-07-01,6,51,0.0
2024-07-01,6,52,0.0
2024-07-01,6,53,0.0
2024-07-01,6,54,0.0
2024-07-01,6,55,0.0
2024-07-01,6,56,0.0
