day,hour,minute,turbine_power
2024-09-06,15,0,-7.74083137512207
2024-09-06,15,1,-10.610215187072754
2024-09-06,15,2,-11.94002628326416
2024-09-06,15,3,-10.603777885437012
2024-09-06,15,4,-10.749401092529297
2024-09-06,15,5,-12.627137184143066
2024-09-06,15,6,-9.5002555847167969
2024-09-06,15,7,-9.5
2024-09-06,15,8,-9.5
2024-09-06,15,9,-9.5
2024-09-06,15,10,-9.5642099380493164
2024-09-06,15,11,-7.4993596076965332
2024-09-06,15,12,-7.5
2024-09-06,15,13,-7.5
2024-09-06,15,14,-7.5
2024-09-06,15,15,-7.5048861503601074
2024-09-06,15,16,-7.0002336502075195
2024-09-06,15,17,-7.2262458801269531
2024-09-06,15,18,-7.0020222663879395
2024-09-06,15,19,-7.2408242225646973
2024-09-06,15,20,-21.474861145019531
2024-09-06,15,21,-20.254463195800781
2024-09-06,15,22,-10.120159149169922
2024-09-06,15,23,-9.7263984680175781
2024-09-06,15,24,-20.775096893310547
2024-09-06,15,25,-8.7905759811401367
2024-09-06,15,26,-8.7499685287475586
2024-09-06,15,27,-8.9130239486694336
2024-09-06,15,28,-8.72146987915039
2024-09-06,15,29,-8.810328483581543
2024-09-06,15,30,-6.360783576965332
2024-09-06,15,31,-6.4853229522705078
2024-09-06,15,32,-6.4853229522705078
2024-09-06,15,33,-6.4853229522705078
2024-09-06,15,34,-6.4853229522705078
2024-09-06,15,35,-6.4853229522705078
2024-09-06,15,36,-6.4853229522705078
2024-09-06,15,37,-6.4853229522705078
2024-09-06,15,38,-6.4853229522705078
2024-09-06,15,39,-6.4853229522705078
2024-09-06,15,40,-7.3725557327270508
2024-09-06,15,41,-7.5
2024-09-06,15,42,-7.5
2024-09-06,15,43,-7.4965806007385254
2024-09-06,15,44,-7.495305061340332
2024-09-06,15,45,-7.5147819519042969
2024-09-06,15,46,-7.65964937210083
2024-09-06,15,47,-8.0
2024-09-06,15,48,-8.0
2024-09-06,15,49,-8.0
2024-09-06,15,50,-7.25004243850708
2024-09-06,15,51,-7.2499957084655762
2024-09-06,15,52,-7.2493510246276855
2024-09-06,15,53,-7.4614138603210449
2024-09-06,15,54,-7.2008142471313477
2024-09-06,15,55,-7.1726245880126953
2024-09-06,15,56,-7.25
2024-09-06,15,57,-7.30824089050293
2024-09-06,15,58,-7.2502031326293945
2024-09-06,15,59,-7.2541799545288086
2024-09-06,16,0,-9.7500839233398438
2024-09-06,16,1,-9.9817914962768555
2024-09-06,16,2,-9.83627700805664
2024-09-06,16,3,-9.7521848678588867
2024-09-06,16,4,-18.752105712890625
2024-09-06,16,5,-7.25
2024-09-06,16,6,-7.25
2024-09-06,16,7,-7.25
2024-09-06,16,8,-22.094100952148438
2024-09-06,16,9,-10.756316184997559
2024-09-06,16,10,-11.0
2024-09-06,16,11,333.45596313476562
2024-09-06,16,12,194.31048583984375
2024-09-06,16,13,182.48455810546875
2024-09-06,16,14,128.87612915039062
2024-09-06,16,15,287.22836303710938
2024-09-06,16,16,136.15507507324219
2024-09-06,16,17,115.3944091796875
2024-09-06,16,18,229.43513488769531
2024-09-06,16,19,476.11270141601562
2024-09-06,16,20,163.1448974609375
2024-09-06,16,21,286.40380859375
2024-09-06,16,22,375.16122436523438
2024-09-06,16,23,378.98928833007812
2024-09-06,16,24,514.1781005859375
2024-09-06,16,25,687.40167236328125
2024-09-06,16,26,868.32373046875
2024-09-06,16,27,663.01617431640625
2024-09-06,16,28,686.89764404296875
2024-09-06,16,29,665.8516845703125
2024-09-06,16,30,514.3087158203125
2024-09-06,16,31,742.058837890625
2024-09-06,16,32,603.62322998046875
2024-09-06,16,33,591.90869140625
2024-09-06,16,34,704.13494873046875
2024-09-06,16,35,632.9149169921875
2024-09-06,16,36,999.5078125
2024-09-06,16,37,1154.4697265625
2024-09-06,16,38,1407.156494140625
2024-09-06,16,39,1304.2144775390625
2024-09-06,16,40,1135.610107421875
2024-09-06,16,41,1563.8525390625
2024-09-06,16,42,1377.607666015625
2024-09-06,16,43,1340.296142578125
2024-09-06,16,44,1200.8153076171875
2024-09-06,16,45,1450.1451416015625
2024-09-06,16,46,1482.7259521484375
2024-09-06,16,47,1279.67041015625
2024-09-06,16,48,968.4434814453125
2024-09-06,16,49,1127.5555419921875
2024-09-06,16,50,1233.9918212890625
2024-09-06,16,51,918.19549560546875
2024-09-06,16,52,966.980224609375
2024-09-06,16,54,691.54547119140625
2024-09-06,16,55,725.14910888671875
2024-09-06,16,56,826.959716796875
2024-09-06,16,57,1159.3486328125
2024-09-06,16,58,937.15069580078125
2024-09-06,16,59,1205.5931396484375
2024-09-06,17,0,1187.733154296875
2024-09-06,17,1,1406.2115478515625
2024-09-06,17,2,1453.7010498046875
2024-09-06,17,3,1601.8114013671875
2024-09-06,17,4,1728.2703857421875
2024-09-06,17,5,1229.38916015625
2024-09-06,17,6,1096.5892333984375
2024-09-06,17,7,1209.9173583984375
2024-09-06,17,8,1529.02734375
2024-09-06,17,9,1411.6490478515625
2024-09-06,17,10,1805.6329345703125
2024-09-06,17,11,2095.5625
2024-09-06,17,12,2029.1514892578125
2024-09-06,17,13,2500.067626953125
2024-09-06,17,14,2262.3896484375
2024-09-06,17,15,1805.0574951171875
2024-09-06,17,16,1063.14306640625
2024-09-06,17,17,1169.9365234375
2024-09-06,17,18,1359.81689453125
2024-09-06,17,19,1595.32666015625
2024-09-06,17,20,1487.8594970703125
2024-09-06,17,21,1579.7886962890625
2024-09-06,17,22,1799.6912841796875
2024-09-06,17,23,1609.4271240234375
2024-09-06,17,24,2016.635498046875
2024-09-06,17,25,1921.1109619140625
2024-09-06,17,26,2312.981201171875
2024-09-06,17,27,1881.7059326171875
2024-09-06,17,28,2050.08740234375
2024-09-06,17,29,2277.087890625
2024-09-06,17,30,2061.213134765625
2024-09-06,17,31,2049.47265625
2024-09-06,17,32,2389.2998046875
2024-09-06,17,33,2118.70703125
2024-09-06,17,34,2137.40087890625
2024-09-06,17,35,2309.071533203125
2024-09-06,17,36,1946.5963134765625
2024-09-06,17,37,2685.38623046875
