day,hour,minute,turbine_power
2024-06-01,0,0,1281.1575927734375
2024-06-01,0,1,1447.017333984375
2024-06-01,0,2,1651.455322265625
2024-06-01,0,3,2008.402099609375
2024-06-01,0,4,2040.838134765625
2024-06-01,0,5,2726.077392578125
2024-06-01,0,6,2842.135498046875
2024-06-01,0,7,2601.518798828125
2024-06-01,0,8,2362.5302734375
2024-06-01,0,9,2317.146728515625
2024-06-01,0,10,2534.32666015625
2024-06-01,0,11,2262.7314453125
2024-06-01,0,12,2051.701904296875
2024-06-01,0,13,1945.99609375
2024-06-01,0,14,1783.8880615234375
2024-06-01,0,15,1538.9200439453125
2024-06-01,0,16,1076.6572265625
2024-06-01,0,17,1189.6884765625
2024-06-01,0,18,1194.9608154296875
2024-06-01,0,19,1494.81884765625
2024-06-01,0,20,1490.900390625
2024-06-01,0,21,2166.89013671875
2024-06-01,0,22,1880.7509765625
2024-06-01,0,23,1831.4259033203125
2024-06-01,0,24,1652.634521484375
2024-06-01,0,25,1441.7462158203125
2024-06-01,0,26,1491.188720703125
2024-06-01,0,27,1514.9588623046875
2024-06-01,0,28,1774.588623046875
2024-06-01,0,29,1828.6781005859375
2024-06-01,0,30,1733.978271484375
2024-06-01,0,31,1769.33251953125
2024-06-01,0,32,1828.269775390625
2024-06-01,0,33,1516.7203369140625
2024-06-01,0,35,1964.520751953125
2024-06-01,0,36,1695.325927734375
2024-06-01,0,37,1867.1177978515625
2024-06-01,0,38,1646.8861083984375
2024-06-01,0,39,1673.0234375
2024-06-01,0,40,1623.73583984375
2024-06-01,0,41,1202.1807861328125
2024-06-01,0,42,1405.9893798828125
2024-06-01,0,43,1944.728759765625
2024-06-01,0,44,1858.0107421875
2024-06-01,0,45,1999.9774169921875
2024-06-01,0,46,2181.89599609375
2024-06-01,0,47,1902.6822509765625
2024-06-01,0,48,2114.367919921875
2024-06-01,0,49,1771.224853515625
2024-06-01,0,50,1568.3055419921875
2024-06-01,0,51,1735.8031005859375
2024-06-01,0,52,1703.0303955078125
2024-06-01,0,53,1977.6903076171875
2024-06-01,0,54,1895.014892578125
2024-06-01,0,55,1862.450439453125
2024-06-01,0,56,2133.8271484375
2024-06-01,0,57,2211.3994140625
2024-06-01,0,58,1857.7274169921875
2024-06-01,0,59,2263.29443359375
2024-06-01,1,0,2122.9560546875
2024-06-01,1,1,1929.246826171875
2024-06-01,1,2,1981.034912109375
2024-06-01,1,3,2133.094482421875
2024-06-01,1,4,2551.819580078125
2024-06-01,1,5,2119.849365234375
2024-06-01,1,6,2747.108154296875
2024-06-01,1,7,2450.5419921875
